ID;LATITUDE;LONGITUDE;STRATEGY;SECTOR;NOTE
537;43.773289;-0.04448;-1;-1;
538;43.773285;-0.044498;-1;-1;
539;43.773281;-0.044517;-1;-1;
540;43.77327;-0.044544;-1;-1;
541;43.773266;-0.044561;-1;-1;
542;43.773258;-0.044579;-1;-1;
543;43.773251;-0.044596;-1;-1;
544;43.773239;-0.044613;-1;-1;
545;43.773228;-0.044638;-1;-1;
546;43.773216;-0.044653;-1;-1;
547;43.773205;-0.044667;-1;-1;
548;43.773193;-0.044681;-1;-1;
549;43.773174;-0.044699;-1;-1;
550;43.773159;-0.04471;-1;-1;
551;43.773144;-0.044719;-1;-1;
552;43.773132;-0.044727;-1;-1;
553;43.773117;-0.044734;-1;-1;
554;43.77309;-0.044741;-1;-1;
555;43.773075;-0.044744;-1;-1;
556;43.77306;-0.044746;-1;-1;
557;43.773041;-0.044746;-1;-1;
558;43.773026;-0.044744;-1;-1;
559;43.773006;-0.044741;-1;-1;
560;43.772991;-0.044737;-1;-1;
561;43.772972;-0.04473;-1;-1;
562;43.772957;-0.044722;-1;-1;
563;43.772942;-0.044713;-1;-1;
564;43.772926;-0.044702;-1;-1;
565;43.772911;-0.044691;-1;-1;
566;43.772896;-0.044677;-1;-1;
567;43.772884;-0.044662;-1;-1;
568;43.772873;-0.044647;-1;-1;
569;43.772861;-0.04463;-1;-1;
570;43.77285;-0.044612;-1;-1;
571;43.772842;-0.044593;-1;-1;
572;43.772831;-0.044573;-1;-1;
573;43.772823;-0.044553;-1;-1;
574;43.77282;-0.044532;-1;-1;
575;43.772812;-0.04451;-1;-1;
576;43.772808;-0.044489;-1;-1;
577;43.772804;-0.044467;-1;-1;
578;43.772804;-0.044445;-1;-1;
579;43.7728;-0.044422;-1;-1;
580;43.772797;-0.0444;-1;-1;
581;43.772797;-0.044378;-1;-1;
582;43.772793;-0.044356;-1;-1;
583;43.772793;-0.044322;-1;-1;
584;43.772793;-0.0443;-1;-1;
585;43.772793;-0.044278;-1;-1;
586;43.772793;-0.044255;-1;-1;
587;43.772793;-0.044233;-1;-1;
588;43.772793;-0.0442;-1;-1;
589;43.772797;-0.044178;-1;-1;
590;43.772797;-0.044155;-1;-1;
591;43.772797;-0.044133;-1;-1;
592;43.7728;-0.0441;-1;-1;
593;43.7728;-0.044077;-1;-1;
594;43.7728;-0.044055;-1;-1;
595;43.772804;-0.044032;-1;-1;
596;43.772804;-0.04401;-1;-1;
597;43.772804;-0.043976;-1;-1;
598;43.772804;-0.043954;-1;-1;
599;43.772804;-0.043931;-1;-1;
600;43.772804;-0.043909;-1;-1;
601;43.772804;-0.043876;-1;-1;
602;43.772804;-0.043853;-1;-1;
603;43.772804;-0.04383;-1;-1;
604;43.772804;-0.043808;-1;-1;
605;43.772804;-0.043786;-1;-1;
606;43.772804;-0.043763;-1;-1;
607;43.772804;-0.043741;-1;-1;
608;43.772804;-0.043719;-1;-1;
609;43.772804;-0.043696;-1;-1;
610;43.772804;-0.043674;-1;-1;
611;43.772804;-0.04364;-1;-1;
612;43.772804;-0.043617;-1;-1;
613;43.7728;-0.043595;-1;-1;
614;43.7728;-0.043572;-1;-1;
615;43.7728;-0.04355;-1;-1;
616;43.7728;-0.043527;-1;-1;
617;43.7728;-0.043504;-1;-1;
618;43.772797;-0.043482;-1;-1;
